number_ of_syllables,number_of_pauses,rate_of_speech,articulation_rate,speaking_duration,original_duration,balance,f0_mean,f0_std,f0_median,f0_min,f0_max,f0_quantile25,f0_quan75,title,url
710,79,3,5,153.3,231.0,0.7,184.41,33.28,180.8,63,363,165,202,Jordan Peterson - Don't Use a Tragic Past as  an Excuse To Not Move Forward,https://www.youtube.com/watch?v=E7hw3bMzt1k
1512,135,4,5,327.0,423.3,0.8,205.97,44.82,199.4,71,422,175,230,Jordan Peterson - Do you really want what you say you want,https://www.youtube.com/watch?v=aBtLFH8j5FI
743,93,3,5,143.5,213.3,0.7,182.4,46.29,174.1,71,390,153,203,Jordan Peterson - Are You Doing Something Wrong,https://www.youtube.com/watch?v=o5D1g5HjAtk
2293,346,3,5,459.3,693.8,0.7,174.11,42.29,164.7,70,413,148,191,Jordan Peterson - Your Ambitions Blind You To The Nature Of Reality,https://www.youtube.com/watch?v=7kkVoKfG0dA
900,161,3,5,181.9,311.8,0.6,184.53,40.57,178.5,70,421,159,204,Jordan Peterson - People Look for Excuses to do Evil,https://www.youtube.com/watch?v=TxeRHhCTSUw
1184,236,3,5,252.3,419.1,0.6,166.17,35.01,161.1,70,376,145,183,Jordan Peterson - Starting a Relationship With Your Future Self,https://www.youtube.com/watch?v=8xafN24159A
1131,94,4,5,223.7,290.0,0.8,193.76,40.3,188.6,70,418,167,216,Jordan Peterson - Do you hide from the flood or build a boat,https://www.youtube.com/watch?v=Q-1z7lUKz-Y
1848,193,4,5,347.5,472.3,0.7,182.65,37.27,178.7,70,397,161,200,Jordan Peterson - Be The Reliable Person at a Funeral,https://www.youtube.com/watch?v=iDcOuTdjq8E
539,64,3,5,106.4,154.6,0.7,191.55,39.85,186.8,71,398,164,212,Jordan Peterson - Why Young People Party & Procrastinate,https://www.youtube.com/watch?v=fwfaIli0hQw
1269,210,3,5,272.9,415.6,0.7,242.39,45.99,238.8,72,421,211,270,Jordan Peterson - Start By Doing It Badly!,https://www.youtube.com/watch?v=82Fm1ZJ1CGQ
834,81,4,4,186.2,232.5,0.8,184.1,43.27,180.5,71,394,160,206,Jordan Peterson - We are Built for Struggle,https://www.youtube.com/watch?v=onsR752kNf0
979,142,3,5,200.9,311.3,0.6,232.13,50.02,224.1,77,423,198,260,Jordan Peterson - The Don't do Stupid Things for a Month - Challenge,https://www.youtube.com/watch?v=uHSbiyez9M4
944,77,4,5,185.5,219.7,0.8,160.39,30.99,156.6,73,389,139,177,Jordan Peterson - Living Up To Your Potential,https://www.youtube.com/watch?v=TEVsmXApNho
1255,235,3,5,243.2,404.3,0.6,166.72,55.28,154.4,71,404,131,193,The Jordan Peterson Effect,https://www.youtube.com/watch?v=dTOZua9_7Tc
