number_ of_syllables,number_of_pauses,rate_of_speech,articulation_rate,speaking_duration,original_duration,balance,f0_mean,f0_std,f0_median,f0_min,f0_max,f0_quantile25,f0_quan75,title,url
6161,372,4,5,1327.2,1535.5,0.9,126.55,28.56,119.8,75,393,110,134,Gemini Your Destiny Is Unfolding Fast! October - December 2025 Tarot,https://www.youtube.com/watch?v=Xs20LR38UQc
6281,355,4,5,1329.2,1527.5,0.9,128.54,28.91,121.7,77,399,111,137,Aries Important! This Energy Is Too Powerful to Ignore! October 2025 Tarot,https://www.youtube.com/watch?v=flhCvyC5bqg
6335,357,4,5,1351.9,1547.6,0.9,127.37,28.55,120.9,76,387,110,135,Libra Destiny at Work! This Spark Will Change Everything! October 2025 Tarot,https://www.youtube.com/watch?v=kmMxf8ptt7w
6134,384,4,5,1310.5,1544.7,0.8,125.33,30.35,118.4,77,417,107,132,Leo Happening Fast! I Would Listen To This If I Were You! October - December 2025 Tarot,https://www.youtube.com/watch?v=sbD4NigPNpA
6872,416,4,5,1462.9,1692.5,0.9,120.55,31.3,113.2,77,421,101,128,Pisces You’re About To Reinvent EVERYTHING! October 2025 Tarot,https://www.youtube.com/watch?v=lZpxALg9cnE
6230,363,4,5,1293.8,1525.8,0.8,123.87,32.67,116.0,76,410,104,131,Scorpio You’re Ready For This! The Wait Is Over! September Bonus Tarot,https://www.youtube.com/watch?v=fBz7hWIWCkY
6319,420,4,5,1303.6,1536.3,0.8,124.83,34.47,116.7,76,399,103,133,Cancer You’re Finally Ready! September Bonus Tarot,https://www.youtube.com/watch?v=IuVXYtXGNuc
7226,364,4,5,1492.0,1697.4,0.9,129.41,33.27,120.9,74,399,109,138,Aries A Destiny You Never Saw Coming! Rest Of 2025 Tarot,https://www.youtube.com/watch?v=7kfyibfFLHE
6225,410,4,5,1315.8,1555.6,0.8,125.48,28.86,118.8,73,398,108,133,Virgo This Transformation Will Surprise You! Mid September Tarot,https://www.youtube.com/watch?v=Q8DMh3R02L8
6533,370,4,5,1366.9,1580.3,0.9,123.37,31.89,115.9,72,400,104,131,Leo Claim The Spotlight Now! Eclipse Season Tarot,https://www.youtube.com/watch?v=NCoUtu1arzs
6320,420,4,5,1349.3,1589.5,0.8,122.85,29.01,116.4,77,393,105,130,Cancer The Universe Owes You BIG Here’s What’s Coming! Mid September Tarot,https://www.youtube.com/watch?v=EFscGbYBK7U
6323,369,4,5,1331.7,1538.0,0.9,126.92,31.85,119.5,72,390,108,135,Scorpio Don’t Play Small Now! September Is Huge For You Scorpio! September 2025 Tarot,https://www.youtube.com/watch?v=joe6gPgRq-U
6459,386,4,5,1363.0,1577.8,0.9,126.46,33.86,118.1,77,400,106,135,Cancer Truth Revealed! You’re About To Break Free For Good! September 2025 Tarot,https://www.youtube.com/watch?v=6r3TX6LJmOs
6376,374,4,5,1319.1,1538.1,0.9,125.99,32.37,118.3,71,393,106,134,Virgo Major Opportunity! But You MUST Be Ready For It! September Bonus Tarot,https://www.youtube.com/watch?v=a285O-Uv70A
7567,419,4,5,1568.5,1792.4,0.9,121.2,32.06,113.6,78,400,101,130,Pisces You're Manifesting Fast! September Bonus Tarot,https://www.youtube.com/watch?v=3feydXCFhM4
6647,403,4,5,1387.3,1611.9,0.9,125.51,32.54,117.9,77,393,106,133,Aries You’re So Close To A Major Victory! October - December 2025 Tarot,https://www.youtube.com/watch?v=QJX1ex2kfEs
7533,479,4,5,1578.2,1838.3,0.9,123.8,30.89,116.8,71,400,105,131,Libra You’re Finally Breaking Free From This Old Pattern! October - December 2025 Tarot,https://www.youtube.com/watch?v=rJhza3R8Qc0
6334,354,4,5,1336.3,1537.8,0.9,123.68,34.32,115.4,77,422,103,131,Taurus You’re About to WIN And It’s No Accident! Eclipse Season Tarot,https://www.youtube.com/watch?v=8OwpgZnC8KM
6738,416,4,5,1386.2,1621.4,0.9,126.23,34.74,117.8,71,417,104,135,Capricorn You’re About To Blow Your Own Mind! Eclipse Season Tarot,https://www.youtube.com/watch?v=9ybEC6j3XeE
